-1 1 0.0111027 (0.2414, 31.5023, -3.5838) (-0.7707, 0.0008, 0.4358, 0.4649) (0.0000, 30.0000, -3.9600) (0.0000, 30.0000, -3.9600) -67.09727 71.72952 -18.78282
-1 1 0.0222054 (0.4088, 29.8094, -3.8568) (-0.7916, -0.0116, 0.4301, 0.4339) (0.1656, 29.9447, -4.2258) (0.1656, 29.9447, -4.2258) -69.10508 67.68935 -25.35027
-1 1 0.0422054 (0.4121, 29.8149, -3.8609) (-0.7980, -0.0213, 0.4379, 0.4135) (0.1675, 29.9439, -4.2261) (0.1675, 29.9439, -4.2261) -71.64989 64.12917 -27.45438
-1 1 0.064436 (0.4165, 29.8212, -3.8677) (-0.8157, -0.0445, 0.4335, 0.3804) (0.1689, 29.9435, -4.2265) (0.1689, 29.9435, -4.2265) -74.10105 58.21015 -33.47555
-1 1 0.09622531 (0.4165, 29.8229, -3.8661) (-0.8266, -0.0327, 0.4367, 0.3536) (0.1692, 29.9440, -4.2270) (0.1692, 29.9440, -4.2270) -74.49915 55.60062 -36.8571
-1 1 0.129764 (0.4169, 29.8241, -3.8688) (-0.8229, -0.0584, 0.4308, 0.3660) (0.1693, 29.9449, -4.2277) (0.1693, 29.9449, -4.2277) -75.16245 55.20132 -36.10289
-1 1 0.1512012 (0.4177, 29.8250, -3.8727) (-0.8228, -0.0894, 0.4150, 0.3778) (0.1692, 29.9456, -4.2282) (0.1692, 29.9456, -4.2282) -75.04836 54.7567 -37.00604
-1 1 0.1651044 (0.4173, 29.8246, -3.8747) (-0.8286, -0.0979, 0.4059, 0.3730) (0.1690, 29.9458, -4.2284) (0.1690, 29.9458, -4.2284) -74.56685 53.86715 -39.21888
-1 1 0.1748253 (0.4169, 29.8244, -3.8755) (-0.8321, -0.0933, 0.4042, 0.3682) (0.1691, 29.9458, -4.2287) (0.1691, 29.9458, -4.2287) -74.13793 53.72541 -40.21378
-1 1 0.1862136 (0.4163, 29.8248, -3.8783) (-0.8370, -0.0957, 0.3937, 0.3678) (0.1691, 29.9460, -4.2291) (0.1691, 29.9460, -4.2291) -72.93977 54.04221 -41.94315
-1 1 0.1980748 (0.4161, 29.8255, -3.8807) (-0.8408, -0.0983, 0.3835, 0.3692) (0.1689, 29.9463, -4.2295) (0.1689, 29.9463, -4.2295) -71.75249 54.54301 -43.32017
-1 1 0.2096501 (0.4159, 29.8264, -3.8828) (-0.8403, -0.1002, 0.3817, 0.3717) (0.1688, 29.9467, -4.2299) (0.1688, 29.9467, -4.2299) -71.59271 54.82405 -43.22977
