Fitts Law Experiment
Subject N: CABD
FOV: 87.95474
Width: 1920
Height: 1080
XRHieght: 1600
XRWidth: 1344
Target# Filter? Time Touch Pos Touch Rot Head Pos Head Rot xfilter yfilter zfilter
-1 1 11.25138 (0.2795, 29.5698, -3.6624) (-0.1495, -0.0427, -0.1413, 0.9777) (0.1370, 29.9793, -4.2237) (-0.0062, -0.0820, 0.0200, -0.9964) -3.295377 30.45113 95.16667
0 1 12.41816 (0.3339, 29.5799, -3.6562) (-0.1919, 0.1412, -0.1244, 0.9632) (0.1331, 29.9797, -4.2232) (-0.0064, -0.0888, 0.0141, -0.9959) 32.35655 32.59701 88.6442
1 1 13.22923 (0.2236, 29.5812, -3.7040) (-0.1450, -0.2017, -0.1147, 0.9618) (0.1108, 29.9799, -4.2318) (-0.0094, 0.0664, 0.0068, -0.9977) -34.92885 32.73322 87.65705
2 1 14.36278 (0.3125, 29.6206, -3.7067) (-0.2913, 0.0765, -0.1017, 0.9481) (0.1274, 29.9822, -4.2375) (0.0115, -0.0420, 0.0164, -0.9989) 19.93006 53.83132 81.85667
3 1 15.27405 (0.2251, 29.5351, -3.6883) (-0.0269, -0.1435, -0.0488, 0.9881) (0.1070, 29.9768, -4.2263) (-0.0357, 0.0484, -0.0020, -0.9982) -28.43703 7.146992 95.73997
4 1 16.14066 (0.2599, 29.6139, -3.7144) (-0.3246, -0.0187, -0.0484, 0.9444) (0.1167, 29.9802, -4.2282) (-0.0097, 0.0204, 0.0103, -0.9997) -0.1738973 62.00745 78.85131
5 1 16.95182 (0.2669, 29.4976, -3.6510) (0.0274, -0.0001, -0.0726, 0.9970) (0.1176, 29.9762, -4.2174) (-0.0402, 0.0120, 0.0056, -0.9991) -0.7122514 -5.704605 99.8494
6 1 17.79635 (0.2263, 29.5957, -3.7188) (-0.2809, -0.1370, -0.0512, 0.9485) (0.1135, 29.9778, -4.2245) (-0.0281, 0.0347, 0.0015, -0.9990) -23.07108 54.62429 80.46927
7 1 18.52958 (0.3180, 29.5143, -3.6517) (-0.0453, 0.1229, -0.0558, 0.9898) (0.1203, 29.9765, -4.2246) (-0.0396, -0.0062, 0.0127, -0.9991) 24.81143 7.619189 96.57011
8 1 19.32956 (0.2026, 29.5631, -3.7148) (-0.1584, -0.1896, -0.0596, 0.9672) (0.1110, 29.9773, -4.2262) (-0.0333, 0.0469, 0.0019, -0.9983) -35.02246 32.7681 87.78963
9 1 20.17453 (0.3416, 29.5654, -3.6599) (-0.1800, 0.1554, -0.0444, 0.9703) (0.1225, 29.9780, -4.2191) (-0.0308, -0.0218, 0.0166, -0.9991) 31.81201 32.70214 88.69267
