Fitts Law Experiment
Subject T: BcaD
FOV: 87.95473
Width: 1920
Height: 1080
XRHieght: 1600
XRWidth: 1344
Target# Filter? Time Touch Pos Touch Rot Head Pos Head Rot xfilter yfilter zfilter
-1 1 2.09129 (-0.0098, 29.7100, -4.5411) (0.1265, 0.0036, 0.0389, -0.9912) (-0.0423, 30.0265, -4.5882) (0.0576, -0.0178, 0.0288, 0.9978) 0.3690808 24.90894 96.79486
0 1 2.947415 (0.0502, 29.7035, -4.5500) (0.1538, -0.0956, -0.0059, -0.9835) (-0.0337, 30.0232, -4.5901) (0.0612, 0.0235, 0.0291, 0.9974) 18.55392 30.33864 93.44296
1 1 3.803324 (-0.0030, 29.7056, -4.5774) (0.1530, 0.0869, -0.0053, -0.9844) (-0.0365, 30.0239, -4.6022) (0.0602, -0.0142, 0.0316, 0.9976) -17.1377 29.63686 93.80721
2 1 4.514664 (0.0395, 29.7309, -4.5630) (0.2274, -0.0661, 0.0015, -0.9715) (-0.0373, 30.0240, -4.5949) (0.0627, 0.0067, 0.0264, 0.9977) 12.53114 43.97699 88.78027
3 1 5.270298 (-0.0016, 29.6964, -4.5688) (0.0953, 0.0620, -0.0437, -0.9926) (-0.0417, 30.0236, -4.6018) (0.0659, -0.0026, 0.0299, 0.9974) -12.90338 18.22583 97.41737
4 1 5.970565 (0.0053, 29.7339, -4.5969) (0.2510, -0.0133, -0.0375, -0.9672) (-0.0440, 30.0247, -4.6086) (0.0601, -0.0042, 0.0298, 0.9977) 0.5283732 48.12323 87.36901
5 1 6.903985 (0.0194, 29.6734, -4.5697) (0.0500, -0.0073, -0.0863, -0.9950) (-0.0440, 30.0237, -4.6002) (0.0708, -0.0006, 0.0284, 0.9971) 0.6576016 10.78305 99.48882
6 1 7.659689 (-0.0117, 29.7277, -4.5872) (0.2266, 0.0370, -0.0767, -0.9703) (-0.0483, 30.0245, -4.6024) (0.0675, -0.0083, 0.0289, 0.9973) -10.81758 43.30317 89.45926
7 1 8.459567 (0.0370, 29.6507, -4.5489) (0.0767, -0.0783, -0.1464, -0.9831) (-0.0473, 30.0235, -4.5964) (0.0740, 0.0040, 0.0247, 0.9969) 12.62752 17.65943 97.59679
8 1 9.193242 (-0.0253, 29.6899, -4.5625) (0.1669, 0.0739, -0.1109, -0.9769) (-0.0500, 30.0233, -4.5925) (0.0736, -0.0108, 0.0289, 0.9968) -17.34738 31.06324 93.33839
9 1 9.904391 (0.0586, 29.6911, -4.5398) (0.1515, -0.1191, -0.1423, -0.9709) (-0.0486, 30.0233, -4.5914) (0.0752, 0.0046, 0.0268, 0.9968) 18.51535 32.9916 92.57375
10 1 10.71551 (0.0028, 29.6715, -4.5668) (0.0925, 0.0634, -0.1492, -0.9824) (-0.0506, 30.0237, -4.5996) (0.0743, -0.0021, 0.0295, 0.9968) -14.60405 16.31346 97.48619
11 1 11.37117 (0.0325, 29.7115, -4.5782) (0.2225, -0.0965, -0.1287, -0.9616) (-0.0494, 30.0244, -4.6038) (0.0673, -0.0014, 0.0271, 0.9974) 12.45754 44.89123 88.23173
12 1 12.10485 (0.0288, 29.6554, -4.5604) (0.0550, -0.0121, -0.1703, -0.9838) (-0.0480, 30.0234, -4.5970) (0.0751, 0.0005, 0.0253, 0.9969) 0.3564263 11.2587 99.36573
13 1 12.8598 (0.0153, 29.7001, -4.5707) (0.2460, -0.0497, -0.2133, -0.9442) (-0.0493, 30.0259, -4.5932) (0.0576, -0.0018, 0.0250, 0.9980) -0.478277 48.8115 87.39855
14 1 13.57158 (0.0469, 29.6593, -4.5388) (0.0750, -0.0862, -0.1945, -0.9742) (-0.0467, 30.0239, -4.5858) (0.0725, 0.0073, 0.0221, 0.9971) 13.84246 17.19937 97.3859
15 1 14.27123 (-0.0006, 29.6932, -4.5609) (0.2352, 0.0302, -0.1732, -0.9559) (-0.0483, 30.0240, -4.5850) (0.0691, -0.0023, 0.0241, 0.9973) -13.81262 43.68496 88.75506
0 1 15.00459 (0.0629, 29.6761, -4.5409) (0.1292, -0.1210, -0.1597, -0.9712) (-0.0431, 30.0240, -4.5855) (0.0716, 0.0049, 0.0183, 0.9973) 19.36258 28.96397 93.73252
