Fitts Law Experiment
Subject T: BcaD
FOV: 87.95473
Width: 1920
Height: 1080
XRHieght: 1600
XRWidth: 1344
Target# Filter? Time Touch Pos Touch Rot Head Pos Head Rot xfilter yfilter zfilter
-1 1 6.838903 (0.8947, 29.5278, -4.9106) (-0.2896, -0.0143, 0.0113, 0.9570) (0.4136, 29.9388, -4.8229) (-0.0384, -0.0139, 0.0059, -0.9991) -3.285088 54.83904 83.1871
0 1 8.939294 (0.9364, 29.4914, -4.8840) (-0.1660, 0.1054, 0.0368, 0.9798) (0.4179, 29.9365, -4.8182) (-0.0525, -0.0196, 0.0069, -0.9984) 20.02073 33.51805 92.26435
1 1 9.906106 (0.8734, 29.4857, -4.9105) (-0.1693, -0.1438, 0.0611, 0.9731) (0.4126, 29.9359, -4.8193) (-0.0549, 0.0186, -0.0036, -0.9983) -30.0729 31.09327 90.1328
2 1 10.81742 (0.9268, 29.5142, -4.8762) (-0.2403, 0.0799, 0.0558, 0.9658) (0.4171, 29.9438, -4.8097) (-0.0572, 0.0017, -0.0011, -0.9984) 13.3016 47.52909 87.17236
3 1 11.77289 (0.8755, 29.4580, -4.8830) (-0.0788, -0.1149, 0.1084, 0.9843) (0.4127, 29.9396, -4.8053) (-0.0766, 0.0304, -0.0092, -0.9966) -24.11052 13.07857 96.11874
4 1 12.71742 (0.9051, 29.5069, -4.9031) (-0.2891, 0.0015, 0.0855, 0.9535) (0.4172, 29.9431, -4.8176) (-0.0510, 0.0191, -0.0074, -0.9985) -2.969377 55.09809 83.28564
5 1 13.65089 (0.9058, 29.4158, -4.8708) (-0.0368, -0.0291, 0.1722, 0.9839) (0.4181, 29.9388, -4.8064) (-0.0823, 0.0173, -0.0062, -0.9964) -6.267699 6.210152 99.56003
6 1 14.55095 (0.8941, 29.4614, -4.8896) (-0.2629, -0.0839, 0.1070, 0.9552) (0.4212, 29.9400, -4.8044) (-0.0767, 0.0243, -0.0028, -0.9968) -21.2715 48.50726 84.76598
7 1 15.4063 (0.9321, 29.4144, -4.8435) (-0.0695, 0.0707, 0.1633, 0.9816) (0.4197, 29.9376, -4.7923) (-0.0904, 0.0099, -0.0017, -0.9959) 12.99804 16.55869 98.03328
8 1 16.31761 (0.8679, 29.4385, -4.8629) (-0.1842, -0.1252, 0.1437, 0.9642) (0.4112, 29.9387, -4.7891) (-0.0821, 0.0258, -0.0085, -0.9963) -29.47044 31.01609 90.08238
9 1 17.26197 (0.9680, 29.4441, -4.8342) (-0.1404, 0.1343, 0.1639, 0.9672) (0.4208, 29.9410, -4.7949) (-0.0703, -0.0066, 0.0047, -0.9975) 21.78908 31.59413 92.45435
10 1 18.16204 (0.8890, 29.4250, -4.8765) (-0.0897, -0.1025, 0.2001, 0.9703) (0.4182, 29.9408, -4.8067) (-0.0675, 0.0281, -0.0046, -0.9973) -22.98533 13.43996 96.28799
11 1 19.00686 (0.9541, 29.4886, -4.8576) (-0.2368, 0.1128, 0.1667, 0.9505) (0.4250, 29.9429, -4.8058) (-0.0553, -0.0041, 0.0045, -0.9984) 13.14485 48.48814 86.24442
12 1 19.96214 (0.9256, 29.3762, -4.8640) (-0.0302, -0.0201, 0.2471, 0.9683) (0.4223, 29.9408, -4.8088) (-0.0660, 0.0077, -0.0035, -0.9978) -5.205663 4.857611 99.73717
13 1 20.70683 (0.9170, 29.5189, -4.8848) (-0.2799, 0.0290, 0.1854, 0.9415) (0.4205, 29.9459, -4.8166) (-0.0333, 0.0119, -0.0058, -0.9994) -4.897141 54.14236 84.16618
14 1 21.50691 (0.9641, 29.3891, -4.8501) (-0.0556, 0.0825, 0.2598, 0.9605) (0.4220, 29.9427, -4.8113) (-0.0542, 0.0039, -0.0038, -0.9985) 13.53299 14.7255 98.02106
15 1 22.3292 (0.8917, 29.4631, -4.8893) (-0.2748, -0.0421, 0.2604, 0.9246) (0.4195, 29.9437, -4.8168) (-0.0457, 0.0279, -0.0058, -0.9985) -22.05085 48.70993 84.54052
0 1 23.06229 (0.9832, 29.4294, -4.8485) (-0.1344, 0.1443, 0.2859, 0.9378) (0.4257, 29.9424, -4.8130) (-0.0563, 0.0015, 0.0024, -0.9984) 18.49786 33.17327 92.22347
1 1 23.88486 (0.8651, 29.4316, -4.8924) (-0.2053, -0.1004, 0.2837, 0.9313) (0.4201, 29.9421, -4.8122) (-0.0585, 0.0257, -0.0048, -0.9979) -29.7371 32.61474 89.55067
2 1 24.6181 (0.9599, 29.4648, -4.8587) (-0.2230, 0.1301, 0.2738, 0.9265) (0.4237, 29.9429, -4.8157) (-0.0543, 0.0064, -0.0023, -0.9985) 12.03101 48.63696 86.66805
3 1 25.49604 (0.8997, 29.3819, -4.8919) (-0.1033, -0.0835, 0.3154, 0.9396) (0.4244, 29.9409, -4.8130) (-0.0658, 0.0190, -0.0042, -0.9976) -21.43187 14.1705 96.4686
4 1 26.26261 (0.9287, 29.4494, -4.8775) (-0.2817, 0.0634, 0.2769, 0.9165) (0.4243, 29.9417, -4.8137) (-0.0601, 0.0181, -0.0039, -0.9980) -3.628689 55.63866 83.32413
5 1 27.16273 (0.9315, 29.3389, -4.8650) (-0.0471, -0.0185, 0.3346, 0.9410) (0.4228, 29.9393, -4.8046) (-0.0757, 0.0174, -0.0052, -0.9970) -6.056335 7.276553 99.48811
6 1 28.08499 (0.9028, 29.4034, -4.8762) (-0.2780, -0.0327, 0.2931, 0.9142) (0.4201, 29.9409, -4.8079) (-0.0645, 0.0240, -0.0072, -0.9976) -21.81332 49.42177 84.32612
7 1 28.74067 (0.9751, 29.3412, -4.8598) (-0.0624, 0.0878, 0.3225, 0.9404) (0.4252, 29.9398, -4.8074) (-0.0741, 0.0104, -0.0028, -0.9972) 12.27001 17.43535 97.68142
8 1 29.55187 (0.9074, 29.3716, -4.9025) (-0.2053, -0.1003, 0.3326, 0.9150) (0.4242, 29.9409, -4.8202) (-0.0641, 0.0272, -0.0078, -0.9975) -31.62189 30.90379 89.55617
9 1 30.24114 (1.0174, 29.3919, -4.8581) (-0.1191, 0.1488, 0.3102, 0.9314) (0.4339, 29.9407, -4.8178) (-0.0662, 0.0031, 0.0044, -0.9978) 20.41787 31.69245 92.73697
10 1 31.24072 (0.9125, 29.3658, -4.8952) (-0.1005, -0.0891, 0.3415, 0.9302) (0.4256, 29.9408, -4.8202) (-0.0640, 0.0216, -0.0050, -0.9977) -23.35523 12.78711 96.3926
11 1 31.95199 (0.9913, 29.4598, -4.8638) (-0.2172, 0.1387, 0.2982, 0.9190) (0.4282, 29.9419, -4.8208) (-0.0585, 0.0134, -0.0036, -0.9982) 12.5701 48.45333 86.71731
12 1 32.74081 (0.9514, 29.3480, -4.8803) (-0.0242, -0.0092, 0.3551, 0.9345) (0.4288, 29.9402, -4.8187) (-0.0685, 0.0163, -0.0023, -0.9975) -3.128258 4.296824 99.86573
