-1 1 0.0110356 (0.1, 30.9, -3.5) (0.1, 0.1, 0.2, -1.0) (0.0, 30.0, -4.0) (0.0, 30.0, -4.0) -7.992881 16.32609 98.33398
-1 1 0.0220712 (0.2, 28.9, -3.4) (0.1, 0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -8.149364 16.51333 98.28986
-1 1 0.0420712 (0.2, 28.9, -3.4) (0.1, 0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -8.270841 16.61244 98.26302
-1 1 0.0662556 (0.2, 28.9, -3.4) (0.1, 0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -8.308624 16.73189 98.23956
-1 1 0.0985897 (0.2, 28.9, -3.4) (0.1, 0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -8.461991 16.91792 98.1946
-1 1 0.1320221 (0.2, 28.9, -3.4) (0.1, 0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -8.454517 16.90435 98.19758
-1 1 0.1548781 (0.2, 28.9, -3.4) (0.1, 0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -8.422406 16.88964 98.20287
-1 1 0.1675973 (0.2, 28.9, -3.4) (0.1, 0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -8.399429 16.86899 98.20838
-1 1 0.1777393 (0.2, 28.9, -3.4) (0.1, 0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -8.391429 16.86287 98.21012
-1 1 0.1898579 (0.2, 28.9, -3.4) (0.1, 0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -8.391469 16.86048 98.21053
-1 1 0.2000896 (0.2, 28.9, -3.4) (0.1, 0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -8.395021 16.85893 98.21049
-1 1 0.2112118 (0.2, 28.9, -3.4) (0.1, 0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -8.400712 16.85626 98.21046
-1 1 0.2220965 (0.2, 28.9, -3.4) (0.1, 0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -8.40241 16.83886 98.2133
-1 1 0.2333385 (0.2, 28.9, -3.4) (0.1, 0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -8.40017 16.82195 98.21639
-1 1 0.2445099 (0.2, 28.9, -3.4) (0.1, 0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -8.398972 16.82154 98.21656
-1 1 0.255631 (0.2, 28.9, -3.4) (0.1, 0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -8.393608 16.82657 98.21616
-1 1 0.2667106 (0.2, 28.9, -3.4) (0.1, 0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -8.387239 16.86085 98.21082
-1 1 0.2775943 (0.2, 28.9, -3.4) (0.1, 0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -8.398956 16.9017 98.2028
-1 1 0.2888137 (0.2, 28.9, -3.4) (0.1, 0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -8.447901 17.02575 98.17717
-1 1 0.2999569 (0.2, 28.9, -3.4) (0.1, 0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -8.4184 16.91019 98.15492
-1 1 0.3109338 (0.2, 28.9, -3.4) (0.1, 0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -8.457264 16.97418 98.11836
-1 1 0.3220409 (0.2, 28.9, -3.4) (0.1, 0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -8.490913 17.05964 98.07304
-1 1 0.3331829 (0.2, 28.9, -3.4) (0.1, 0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -8.514235 17.16524 98.02406
-1 1 0.344118 (0.2, 28.9, -3.4) (0.1, 0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -8.536605 17.28073 97.97289
-1 1 0.3553675 (0.2, 28.9, -3.4) (0.1, 0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -8.543996 17.40945 97.92845
-1 1 0.3663738 (0.2, 28.9, -3.4) (0.1, 0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -8.534867 17.54163 97.89645
-1 1 0.3772649 (0.2, 28.9, -3.4) (0.1, 0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -8.518777 17.67879 97.86722
-1 1 0.3885561 (0.2, 28.9, -3.4) (0.1, 0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -8.486339 17.82638 97.83829
-1 1 0.3995979 (0.2, 28.9, -3.4) (0.1, 0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -8.446712 17.99197 97.79919
-1 1 0.4107058 (0.2, 28.9, -3.4) (0.1, 0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -8.392283 18.16827 97.76215
-1 1 0.4216204 (0.2, 28.9, -3.4) (0.1, 0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -8.157803 18.92474 97.73328
-1 1 0.4328439 (0.2, 28.9, -3.4) (0.1, 0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -7.997087 19.14177 97.70515
-1 1 0.4437293 (0.2, 28.9, -3.4) (0.1, 0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -7.863834 19.36312 97.66897
-1 1 0.4551783 (0.2, 28.9, -3.4) (0.1, 0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -7.684094 19.5756 97.64474
-1 1 0.4666469 (0.2, 28.9, -3.4) (0.1, 0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -7.44541 19.78831 97.62685
-1 1 0.4772403 (0.2, 28.9, -3.4) (0.1, 0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -6.768328 20.40091 97.62325
-1 1 0.4884599 (0.2, 28.9, -3.4) (0.1, 0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -6.452715 20.49615 97.63483
-1 1 0.4992576 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -6.210263 20.49666 97.66405
-1 1 0.5106503 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -6.50875 20.19241 97.69777
-1 1 0.5215183 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -6.359247 20.2266 97.71335
-1 1 0.532925 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -6.25482 20.21622 97.73991
-1 1 0.543754 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -6.161222 20.1808 97.77047
-1 1 0.555279 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -6.077639 20.0984 97.81483
-1 1 0.5675027 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -6.021401 20.02408 97.84422
-1 1 0.5771766 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -5.938359 19.96604 97.86667
-1 1 0.5885079 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -5.827753 19.91946 97.88596
-1 1 0.599479 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -5.723038 19.89116 97.89539
-1 1 0.6107181 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -5.940109 20.01823 97.89751
-1 1 0.6217007 (0.2, 28.9, -3.4) (0.1, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -5.796838 20.0056 97.91284
