Fitts Law Experiment
Subject N: CABD
FOV: 87.95474
Width: 1920
Height: 1080
XRHieght: 1600
XRWidth: 1344
Target# Filter? Time Touch Pos Touch Rot Head Pos Head Rot xfilter yfilter zfilter
-1 1 1.245393 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 20.45648 29.97196 93.1838
0 1 1.63473 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 25.89344 35.4607 89.71433
1 1 2.268892 (0.2, 28.9, -3.4) (0.2, 0.2, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -28.48708 36.07894 88.80746
2 1 3.069802 (0.2, 29.0, -3.4) (0.3, 0.0, 0.2, -0.9) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 17.05604 51.87394 83.46243
3 1 3.648153 (0.2, 28.9, -3.4) (0.1, 0.1, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -23.89508 17.73229 95.47084
4 1 4.35985 (0.2, 29.0, -3.5) (0.3, 0.0, 0.1, -0.9) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 0.3543682 60.15367 80.22466
5 1 4.949199 (0.2, 28.9, -3.4) (0.0, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -1.697592 7.559896 99.72993
6 1 5.593909 (0.2, 29.0, -3.4) (0.3, 0.1, 0.1, -0.9) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -18.0563 54.09228 82.15904
7 1 6.183037 (0.2, 28.9, -3.4) (0.1, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 18.66142 14.08397 97.234
8 1 6.716544 (0.2, 28.9, -3.4) (0.2, 0.2, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -28.59969 36.63477 88.54611
9 1 7.27207 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 26.46929 34.64302 90.03109
10 1 7.749805 (0.2, 28.9, -3.4) (0.1, 0.1, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -23.88304 14.69836 95.9873
11 1 8.260884 (0.2, 29.0, -3.4) (0.3, -0.1, 0.1, -0.9) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 17.51277 52.12029 83.6265
12 1 8.737413 (0.2, 28.9, -3.4) (0.0, 0.0, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -1.997462 5.327578 99.83801
13 1 9.304784 (0.2, 29.0, -3.5) (0.3, 0.0, 0.1, -0.9) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -1.196221 59.64041 80.13034
14 1 9.760383 (0.2, 28.9, -3.4) (0.1, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 18.3805 12.5653 97.48985
15 1 10.37179 (0.2, 29.0, -3.5) (0.3, 0.1, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -18.36703 52.88906 82.86008
0 1 10.81638 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 27.79615 33.21471 90.13411
1 1 11.36121 (0.2, 28.9, -3.4) (0.2, 0.2, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -28.68339 34.25145 89.45844
2 1 11.81692 (0.2, 29.0, -3.4) (0.3, -0.1, 0.1, -0.9) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 18.98311 52.98201 82.65933
3 1 12.31682 (0.2, 28.9, -3.4) (0.1, 0.1, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -22.13538 15.05685 96.34997
4 1 12.79461 (0.2, 29.0, -3.5) (0.3, 0.0, 0.1, -0.9) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 1.002463 60.99021 79.24075
5 1 13.31674 (0.2, 28.9, -3.4) (0.0, 0.0, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -1.133977 6.255873 99.79769
6 1 13.82803 (0.2, 29.0, -3.5) (0.3, 0.1, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -18.05492 53.83173 82.31389
7 1 14.33959 (0.2, 28.9, -3.4) (0.1, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 18.08452 17.29963 96.81773
8 1 14.95032 (0.2, 28.9, -3.4) (0.2, 0.2, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -27.8258 34.30018 89.71992
9 1 15.48397 (0.3, 28.9, -3.4) (0.2, -0.1, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 26.04429 35.34307 89.84766
10 1 15.96144 (0.2, 28.9, -3.4) (0.1, 0.1, 0.1, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) -23.12086 14.44737 96.21174
