-1 1 0.02 (0.0000, 30.0000, -3.4600) (0.0000, 0.0000, 0.0000, 1.0000) (0.0000, 30.0000, -3.9600) (0.0000, 30.0000, -3.9600) 0 0 100
-1 1 0.04 (0.0000, 30.0000, -3.4600) (0.0000, 0.0000, 0.0000, 1.0000) (0.0000, 30.0000, -3.9600) (0.0000, 30.0000, -3.9600) 0 0 100
-1 1 0.3733333 (0.7840, 29.7740, -3.3767) (0.3256, -0.4800, -0.0005, -0.8146) (0.3481, 29.9479, -4.0136) (0.3481, 29.9479, -4.0136) 78.16502 53.10364 32.71379
-1 1 0.4807033 (0.6878, 29.6834, -3.3207) (0.1725, -0.3702, -0.2078, -0.8888) (0.3103, 29.9519, -4.0215) (0.3103, 29.9519, -4.0215) 58.64429 46.04905 66.63585
-1 1 0.5334449 (0.6469, 29.6288, -3.3037) (0.1048, -0.3397, -0.2816, -0.8913) (0.2929, 29.9532, -4.0241) (0.2929, 29.9532, -4.0241) 54.64066 37.81862 74.72718
-1 1 0.5658364 (0.6144, 29.5749, -3.2928) (0.0296, -0.3049, -0.3476, -0.8862) (0.2802, 29.9534, -4.0257) (0.2802, 29.9534, -4.0257) 51.98851 26.44499 81.22721
-1 1 0.5992637 (0.5948, 29.5418, -3.2887) (-0.0110, -0.2902, -0.3879, -0.8747) (0.2716, 29.9531, -4.0263) (0.2716, 29.9531, -4.0263) 51.62787 20.59947 83.12776
-1 1 0.6290643 (0.5796, 29.5125, -3.2869) (-0.0583, -0.2760, -0.3993, -0.8723) (0.2639, 29.9524, -4.0269) (0.2639, 29.9524, -4.0269) 52.81059 11.87572 84.08334
-1 1 0.6641309 (0.5664, 29.4874, -3.2875) (-0.0963, -0.2589, -0.4094, -0.8695) (0.2572, 29.9515, -4.0273) (0.2572, 29.9515, -4.0273) 52.90655 4.44894 84.74139
-1 1 0.6991616 (0.5552, 29.4688, -3.2903) (-0.1212, -0.2495, -0.4150, -0.8665) (0.2514, 29.9507, -4.0276) (0.2514, 29.9507, -4.0276) 53.29743 -0.2883862 84.61265
-1 1 0.7280493 (0.5475, 29.4571, -3.2939) (-0.1351, -0.2532, -0.4030, -0.8690) (0.2465, 29.9500, -4.0278) (0.2465, 29.9500, -4.0278) 54.90078 -3.075389 83.52512
-1 1 0.7632722 (0.5424, 29.4485, -3.2966) (-0.1449, -0.2600, -0.3927, -0.8702) (0.2425, 29.9492, -4.0281) (0.2425, 29.9492, -4.0281) 56.62691 -4.797566 82.28229
-1 1 0.8024042 (0.5400, 29.4437, -3.2996) (-0.1582, -0.2770, -0.3657, -0.8744) (0.2391, 29.9482, -4.0284) (0.2391, 29.9482, -4.0284) 60.00565 -7.412832 79.65156
-1 1 0.8358409 (0.5381, 29.4428, -3.3032) (-0.1591, -0.2985, -0.3257, -0.8829) (0.2364, 29.9465, -4.0292) (0.2364, 29.9465, -4.0292) 63.07914 -8.645585 77.11208
-1 1 0.8642192 (0.5349, 29.4441, -3.3084) (-0.1457, -0.3101, -0.3000, -0.8903) (0.2343, 29.9453, -4.0299) (0.2343, 29.9453, -4.0299) 63.95801 -7.329932 76.52219
-1 1 0.8976464 (0.5321, 29.4448, -3.3125) (-0.1520, -0.2956, -0.2890, -0.8978) (0.2328, 29.9446, -4.0306) (0.2328, 29.9446, -4.0306) 61.86252 -10.19686 77.90411
-1 1 0.9315731 (0.5300, 29.4456, -3.3164) (-0.1800, -0.2414, -0.2710, -0.9143) (0.2315, 29.9440, -4.0318) (0.2315, 29.9440, -4.0318) 53.89968 -19.81956 81.8658
-1 1 0.9672144 (0.5308, 29.4482, -3.3182) (-0.1864, -0.2213, -0.2476, -0.9247) (0.2311, 29.9434, -4.0329) (0.2311, 29.9434, -4.0329) 50.15215 -23.51565 83.25729
-1 1 1.003217 (0.5341, 29.4546, -3.3234) (-0.1649, -0.2254, -0.2397, -0.9298) (0.2310, 29.9429, -4.0344) (0.2310, 29.9429, -4.0344) 49.82858 -19.86466 84.39495
