Fitts Law Experiment
Subject N: CABD
FOV: 90
Width: 1117
Height: 459
XRHieght: 0
XRWidth: 0
Target# Filter? Time Touch Pos Touch Rot Head Pos Head Rot xfilter yfilter zfilter
-1 1 70.31459 (0.4608, 29.5742, -4.1047) (0.1843, -0.0383, 0.0551, -0.9806) (0.1978, 29.9735, -4.4615) (-0.0388, -0.0087, 0.0481, -0.9981) 8.839199 35.75387 92.91516
0 1 71.4596 (0.4925, 29.5717, -4.1078) (0.1842, -0.1442, 0.0808, -0.9689) (0.1990, 29.9743, -4.4653) (-0.0322, -0.0176, 0.0488, -0.9981) 30.6377 31.81784 89.05701
1 1 72.70565 (0.4175, 29.5663, -4.1331) (0.1619, 0.1847, 0.0333, -0.9688) (0.1952, 29.9737, -4.4640) (-0.0336, 0.0102, 0.0410, -0.9985) -35.76057 32.36032 87.93556
2 1 74.14896 (0.4693, 29.5936, -4.1271) (0.2862, -0.0856, 0.0678, -0.9519) (0.1969, 29.9741, -4.4628) (-0.0332, -0.0019, 0.0463, -0.9984) 19.47584 53.52839 82.1584
3 1 75.41458 (0.4151, 29.5364, -4.1104) (0.0365, 0.1344, 0.0014, -0.9903) (0.1934, 29.9725, -4.4559) (-0.0504, 0.0056, 0.0418, -0.9978) -26.99285 7.626039 96.12045
4 1 102.8868 (0.4478, 29.6123, -4.0692) (0.3295, 0.0152, 0.0015, -0.9440) (0.1991, 29.9814, -4.4413) (0.0100, 0.0148, 0.0375, -0.9991) -2.726936 62.25532 78.23363
5 1 104.0389 (0.4298, 29.5159, -4.0313) (-0.0254, 0.0208, -0.0453, -0.9984) (0.1917, 29.9781, -4.4255) (-0.0287, 0.0119, 0.0351, -0.9989) -3.913389 -5.264631 99.78448
6 1 104.9617 (0.4109, 29.5798, -4.1060) (0.2773, 0.1206, -0.0163, -0.9530) (0.1958, 29.9797, -4.4370) (-0.0207, 0.0323, 0.0421, -0.9984) -23.66869 52.57263 81.71309
7 1 106.0395 (0.4819, 29.5203, -4.0405) (0.0406, -0.1144, -0.0362, -0.9919) (0.2094, 29.9748, -4.4280) (-0.0544, -0.0272, 0.0633, -0.9961) 22.40236 8.879778 97.05276
8 1 107.0616 (0.4124, 29.5469, -4.0924) (0.1718, 0.1780, -0.0217, -0.9687) (0.1990, 29.9766, -4.4330) (-0.0462, 0.0392, 0.0526, -0.9968) -35.05541 32.5825 87.75517
9 1 120.963 (0.5801, 29.5995, -4.0065) (0.1670, -0.1532, 0.0301, -0.9735) (0.2320, 29.9731, -4.4187) (-0.0530, -0.0954, 0.0561, -0.9924) 30.62185 31.01448 89.72581
10 1 122.095 (0.4731, 29.5486, -4.0435) (0.0399, 0.1455, -0.0199, -0.9884) (0.2192, 29.9722, -4.4161) (-0.0639, -0.0053, 0.0481, -0.9968) -28.91257 7.313751 95.44637
11 1 123.0725 (0.5192, 29.6102, -4.0681) (0.2761, -0.1050, -0.0107, -0.9553) (0.2194, 29.9753, -4.4271) (-0.0434, -0.0186, 0.0527, -0.9975) 19.70879 52.42052 82.54713
12 1 124.1184 (0.4968, 29.5204, -4.0478) (-0.0222, 0.0221, -0.0414, -0.9986) (0.2201, 29.9747, -4.4233) (-0.0492, -0.0163, 0.0537, -0.9972) -4.430449 -4.217278 99.80363
13 1 124.9505 (0.4940, 29.5973, -4.0959) (0.3152, 0.0037, -0.0264, -0.9487) (0.2220, 29.9777, -4.4260) (-0.0239, -0.0055, 0.0596, -0.9979) -2.269468 60.3245 80.12728
14 1 125.9175 (0.5473, 29.5179, -4.0316) (0.0381, -0.1116, -0.0022, -0.9930) (0.2341, 29.9747, -4.4119) (-0.0279, -0.0130, 0.0690, -0.9971) 22.1495 7.593064 97.21671
15 1 126.8956 (0.4854, 29.5684, -4.1056) (0.2859, 0.1262, -0.0008, -0.9499) (0.2296, 29.9762, -4.4233) (-0.0138, 0.0029, 0.0605, -0.9981) -24.022 54.29003 80.4707
0 1 127.8964 (0.5510, 29.5442, -4.0490) (0.1610, -0.1588, -0.0184
